id	method	nsnp	b	se	CIlower	CIupper	pval	intercept	intercept_se	inter_CIlower	inter_CIupper	intercept_pval	hetero_Q	hetero_pvale	heterogenity	pleiotropy	fdr
SeqId_5091_28	IVW	5	-0.00953541720558445	0.00733042275615053	-0.0239027817990923	0.00483194738792342	0.193326768579308	NA	NA	NA	NA	NA	10.2324993299507	0.036688183320719	TRUE	FALSE	0.636463649714602
SeqId_11615_16	IVW	4	0.00346777036095062	0.0128791590673198	-0.0217749175621587	0.0287104582840599	0.787733913454745	NA	NA	NA	NA	NA	1.10763997465278	0.775230090841657	FALSE	FALSE	0.956217339597036
SeqId_5621_64	IVW	3	-0.0113666881003258	0.00938898565323232	-0.0297687618320244	0.00703538563137283	0.226033141155636	NA	NA	NA	NA	NA	1.06677867903854	0.58661336461283	FALSE	FALSE	0.671904872383164
SeqId_3331_8	IVW	6	0.0157914647489812	0.0182712354170048	-0.020019498621401	0.0516024281193633	0.387434052044795	NA	NA	NA	NA	NA	11.2121616785984	0.0473319811683449	TRUE	FALSE	0.813445098909652
SeqId_2991_9	IVW	3	0.155660992801048	0.0184628462998255	0.119474479001291	0.191847506600804	3.42607064398954e-17	NA	NA	NA	NA	NA	0.811382976181643	0.666515763759572	FALSE	FALSE	1.10833385333062e-14
SeqId_4996_66	IVW	5	-0.00487413107101981	0.00601173689202308	-0.0166569188639158	0.00690865672187619	0.417498228946459	NA	NA	NA	NA	NA	2.03063726548447	0.730123691011135	FALSE	FALSE	0.834375125878906
SeqId_15526_33	IVW	3	0.0103700940761587	0.012123317500492	-0.0133911715979497	0.0341313597502671	0.392338495193707	NA	NA	NA	NA	NA	0.516487105012785	0.772407087514195	FALSE	FALSE	0.818611131978556
SeqId_15576_158	IVW	9	-0.0123244996333709	0.00943878969557612	-0.0308241874943478	0.00617518822760612	0.191644797107704	NA	NA	NA	NA	NA	4.25986221628538	0.832949660724367	FALSE	FALSE	0.636137346389604
SeqId_19614_8	IVW	5	0.010162778605358	0.00990943588144943	-0.00925935882939177	0.0295849160401078	0.30509629170395	NA	NA	NA	NA	NA	1.51157159709824	0.824589746434582	FALSE	FALSE	0.752045193044787
SeqId_9468_8	IVW	3	0.0976031538429187	0.0318374088706978	0.0352029790952751	0.160003328590562	0.0021717911903164	NA	NA	NA	NA	NA	14.1983190676453	0.000825798687548545	TRUE	FALSE	0.0702574450067355
SeqId_11646_4	IVW	5	-0.0204137790139137	0.0141003938693811	-0.04805004316573	0.00722248513790268	0.147688294572875	NA	NA	NA	NA	NA	2.83309108688042	0.586134212268667	FALSE	FALSE	0.557481995376424
SeqId_3029_52	IVW	4	0.0102734469804556	0.0112662327873935	-0.0118079635242801	0.0323548574851912	0.361832142060916	NA	NA	NA	NA	NA	0.659484100460516	0.882689728175838	FALSE	FALSE	0.800193030994402
